"APPLICATION_NUMBER","INI_REPORTED_DIV_AMOUNT","INI_REPORTED_DIV_UNIT","FACE_VALUE_AMOUNT","FACE_VALUE_UNITS"
"A021570",NA,"",25.6,"Acre-feet per Year"
"A021596",NA,"",0.4,"Acre-feet per Year"
"A021658",NA,"",180,"Acre-feet per Year"
"A021660",NA,"",81,"Acre-feet per Year"
"A021666",NA,"",41,"Acre-feet per Year"
"A021674",NA,"",29.7,"Acre-feet per Year"
"A021691",NA,"",13.5,"Acre-feet per Year"
"A021705",NA,"",0.6,"Acre-feet per Year"
"A021710",NA,"",43,"Acre-feet per Year"
"A021711",NA,"",26.5,"Acre-feet per Year"
"A021756",NA,"",70,"Acre-feet per Year"
"A021783A",NA,"",26,"Acre-feet per Year"
"A021783B",NA,"",42,"Acre-feet per Year"
"A021809",NA,"",23.1,"Acre-feet per Year"
"A021817",NA,"",9.3,"Acre-feet per Year"
"A021838",NA,"",34.4,"Acre-feet per Year"
"A021856",NA,"",15,"Acre-feet per Year"
"A021870",NA,"",89,"Acre-feet per Year"
"A021886",NA,"",7.5,"Acre-feet per Year"
"A021889",NA,"",12,"Acre-feet per Year"
"A021919",NA,"",45,"Acre-feet per Year"
"A021925",NA,"",12,"Acre-feet per Year"
"A021927",NA,"",42,"Acre-feet per Year"
"A021928",NA,"",157,"Acre-feet per Year"
"A021929",NA,"",61,"Acre-feet per Year"
"A021930",NA,"",34,"Acre-feet per Year"
"A021931",NA,"",49,"Acre-feet per Year"
"A021932",NA,"",12,"Acre-feet per Year"
"A021939",NA,"",0.3,"Acre-feet per Year"
"A021941",NA,"",0.4,"Acre-feet per Year"
"A021942",NA,"",0.2,"Acre-feet per Year"
"A021950",NA,"",29,"Acre-feet per Year"
"A021966",NA,"",8.6,"Acre-feet per Year"
"A021977",NA,"",2.5,"Acre-feet per Year"
"A022005B",NA,"",7.1,"Acre-feet per Year"
"A022038",NA,"",5.6,"Acre-feet per Year"
"A022070",NA,"",12.5,"Acre-feet per Year"
